File                DER    JER    B3-Precision    B3-Recall    B3-F1    GKT(ref, sys)    GKT(sys, ref)    H(ref|sys)    H(sys|ref)    MI    NMI
2943043            6.98   7.44            0.89         0.88     0.88             0.80             0.81          0.36          0.41  1.20   0.76
2974366           10.42  12.05            0.83         0.86     0.84             0.76             0.73          0.54          0.45  1.14   0.70
3002815            8.13   8.10            0.88         0.85     0.87             0.77             0.79          0.36          0.47  1.14   0.73
3017365           12.73  17.97            0.81         0.79     0.80             0.63             0.65          0.58          0.66  0.84   0.57
3116006           15.35  17.40            0.78         0.75     0.76             0.63             0.65          0.65          0.77  0.97   0.58
3132933            6.74   6.64            0.90         0.87     0.88             0.77             0.81          0.30          0.42  1.14   0.76
3143814            4.37   6.51            0.93         0.93     0.93             0.88             0.89          0.23          0.27  1.22   0.83
3143841           12.61  13.81            0.83         0.81     0.82             0.71             0.73          0.52          0.60  1.11   0.67
3150359            7.10   9.81            0.89         0.88     0.88             0.80             0.81          0.35          0.41  1.15   0.75
3162464           10.85  11.97            0.84         0.81     0.83             0.70             0.74          0.48          0.62  0.99   0.65
3186725            4.68   5.12            0.93         0.92     0.92             0.88             0.88          0.25          0.28  1.31   0.83
3228806           11.17  12.96            0.82         0.79     0.80             0.66             0.69          0.55          0.68  0.90   0.60
3229783           14.19  14.16            0.78         0.76     0.77             0.64             0.66          0.66          0.74  1.09   0.61
3242986            5.88   6.18            0.91         0.90     0.90             0.84             0.86          0.27          0.36  1.30   0.80
3249078           10.41  11.72            0.84         0.83     0.84             0.75             0.76          0.50          0.54  1.20   0.70
3303284            5.25   5.37            0.92         0.91     0.91             0.85             0.87          0.25          0.34  1.26   0.81
3334594           11.32  11.24            0.86         0.82     0.84             0.73             0.77          0.38          0.48  1.20   0.73
3340696            5.60   6.98            0.91         0.91     0.91             0.85             0.84          0.33          0.31  1.11   0.78
3369472           12.85  13.21            0.82         0.78     0.80             0.63             0.67          0.51          0.64  0.97   0.63
3385730            6.59   8.23            0.90         0.89     0.89             0.82             0.82          0.32          0.35  1.17   0.78
3396231            9.99  13.76            0.85         0.84     0.85             0.75             0.76          0.45          0.52  1.04   0.68
3399073            6.59   8.62            0.89         0.89     0.89             0.79             0.79          0.36          0.38  1.02   0.73
3407875           13.22  13.86            0.80         0.77     0.78             0.63             0.66          0.62          0.73  0.93   0.58
3413937            6.03   8.65            0.91         0.90     0.91             0.80             0.81          0.28          0.33  0.96   0.76
3433042           12.06  11.51            0.85         0.83     0.84             0.75             0.77          0.46          0.54  1.19   0.70
3442734            9.47  14.14            0.86         0.84     0.85             0.68             0.69          0.39          0.48  0.84   0.66
3447838            8.24   8.68            0.86         0.84     0.85             0.76             0.78          0.42          0.51  1.15   0.71
3499432           16.93  18.82            0.76         0.73     0.75             0.60             0.63          0.68          0.76  1.00   0.58
3519376            8.62   8.71            0.90         0.88     0.89             0.81             0.84          0.31          0.42  1.23   0.77
3547532           12.63  14.14            0.79         0.77     0.78             0.62             0.64          0.59          0.65  0.96   0.61
3551307           12.12  11.54            0.82         0.79     0.80             0.69             0.72          0.48          0.56  1.22   0.70
3563865            4.42   4.59            0.90         0.91     0.91             0.86             0.85          0.34          0.30  1.35   0.81
3618325           16.13  15.70            0.80         0.76     0.78             0.64             0.69          0.60          0.73  1.00   0.60
3660167            5.21   5.25            0.91         0.90     0.91             0.85             0.86          0.28          0.34  1.35   0.81
3674900           14.47  14.64            0.74         0.76     0.75             0.61             0.59          0.71          0.70  0.91   0.56
367510             5.29   7.06            0.91         0.91     0.91             0.83             0.83          0.28          0.31  1.11   0.79
3676874           21.06  23.56            0.76         0.69     0.72             0.49             0.55          0.64          0.81  0.76   0.51
3683686           13.42  12.96            0.85         0.76     0.80             0.64             0.74          0.44          0.69  1.01   0.64
3704252            9.33  11.27            0.87         0.86     0.87             0.79             0.81          0.42          0.48  1.17   0.72
3729840            8.77   9.63            0.88         0.88     0.88             0.82             0.81          0.36          0.35  1.26   0.78
3782060           14.03  14.21            0.85         0.77     0.81             0.63             0.74          0.43          0.72  0.91   0.62
3785595           12.74  16.07            0.79         0.82     0.81             0.70             0.67          0.66          0.56  1.01   0.62
3801058            8.54   9.80            0.91         0.86     0.89             0.78             0.86          0.29          0.46  1.18   0.76
3819695            4.98   6.19            0.92         0.92     0.92             0.86             0.86          0.27          0.27  1.27   0.83
3827529            9.04   8.43            0.90         0.84     0.87             0.66             0.75          0.27          0.47  0.84   0.70
3836246           47.93  70.70            0.88         0.49     0.63             0.20             0.52          0.36          1.30  0.34   0.32
3852482            6.79   7.67            0.90         0.90     0.90             0.85             0.85          0.33          0.35  1.32   0.80
3881193           10.87  15.44            0.83         0.83     0.83             0.71             0.71          0.52          0.55  1.04   0.66
3900331            7.05   7.70            0.88         0.88     0.88             0.82             0.82          0.41          0.40  1.34   0.77
3914251           19.52  25.05            0.78         0.69     0.73             0.47             0.53          0.63          0.89  0.65   0.47
3916744            7.49   7.54            0.88         0.86     0.87             0.79             0.81          0.39          0.45  1.30   0.76
3966309            7.38   8.12            0.89         0.88     0.89             0.82             0.83          0.33          0.38  1.18   0.77
3989817            5.96   7.14            0.90         0.90     0.90             0.84             0.84          0.32          0.33  1.16   0.78
400579             4.78   8.20            0.91         0.91     0.91             0.77             0.77          0.28          0.33  0.84   0.73
435734             5.11  14.06            0.92         0.92     0.92             0.77             0.78          0.26          0.27  0.69   0.72
496877             9.06  11.52            0.86         0.84     0.85             0.68             0.71          0.42          0.51  0.85   0.64
704335             4.35   8.35            0.94         0.92     0.93             0.76             0.78          0.19          0.26  0.65   0.74
785124             4.75   6.80            0.92         0.92     0.92             0.83             0.82          0.27          0.28  1.01   0.79
801f6925081bf010  14.64  45.01            0.88         0.76     0.82             0.56             0.71          0.33          0.72  0.68   0.57
837ce411f58894b0  28.58  50.21            0.67         0.86     0.76             0.77             0.52          0.76          0.40  1.02   0.64
8380c810f4ce9771  16.84  45.36            0.89         0.75     0.81             0.56             0.75          0.31          0.75  0.75   0.59
839621             4.28  18.15            0.93         0.93     0.93             0.76             0.76          0.20          0.23  0.58   0.73
83ab3288a3c1438b  20.84  49.81            0.88         0.73     0.80             0.51             0.71          0.35          0.79  0.69   0.56
